name,game_mode,status,start_date,end_date,player_capacity,admin_id,playlist,gamelist
Tournament 1,BATTLE_ROYALE,COMPLETED,2024-11-05T09:00:00+08:00,2024-11-08T09:00:00+08:00,110,2,null,null
Tournament 2,BATTLE_ROYALE,ACTIVE,2024-11-10T09:00:00+08:00,2024-11-11T09:00:00+08:00,61,2,null,null
Tournament 3,BATTLE_ROYALE,INACTIVE,2024-11-30T11:00:00+08:00,2024-12-05T11:00:00+08:00,25,5,null,null
Tournament 4,CLAN_WAR,INACTIVE,2024-11-23T11:00:00+08:00,2024-11-24T11:00:00+08:00,100,5,null,null
Tournament 5,BATTLE_ROYALE,INACTIVE,2024-11-16T09:00:00+08:00,2024-11-25T09:00:00+08:00,60,4,null,null
Tournament 6,BATTLE_ROYALE,COMPLETED,2024-11-04T11:00:00+08:00,2024-11-10T11:00:00+08:00,37,1,null,null
Tournament 7,BATTLE_ROYALE,INACTIVE,2024-11-21T11:00:00+08:00,2024-11-24T11:00:00+08:00,22,3,null,null
Tournament 8,BATTLE_ROYALE,INACTIVE,2024-11-13T11:00:00+08:00,2024-11-16T11:00:00+08:00,77,2,null,null
Tournament 9,BATTLE_ROYALE,ACTIVE,2024-11-07T12:00:00+08:00,2024-11-17T12:00:00+08:00,12,3,null,null
Tournament 10,CLAN_WAR,INACTIVE,2024-11-14T11:00:00+08:00,2024-11-18T11:00:00+08:00,20,4,null,null
Tournament 11,BATTLE_ROYALE,INACTIVE,2024-11-18T10:00:00+08:00,2024-11-22T10:00:00+08:00,96,4,null,null
Tournament 12,BATTLE_ROYALE,ACTIVE,2024-11-10T12:00:00+08:00,2024-11-18T12:00:00+08:00,13,4,null,null
Tournament 13,BATTLE_ROYALE,ACTIVE,2024-11-06T10:00:00+08:00,2024-11-13T10:00:00+08:00,28,4,null,null
Tournament 14,CLAN_WAR,INACTIVE,2024-11-14T10:00:00+08:00,2024-11-21T10:00:00+08:00,80,3,null,null
Tournament 15,BATTLE_ROYALE,INACTIVE,2024-11-28T11:00:00+08:00,2024-12-07T11:00:00+08:00,98,2,null,null
Tournament 16,BATTLE_ROYALE,INACTIVE,2024-11-25T11:00:00+08:00,2024-11-27T11:00:00+08:00,96,1,null,null
Tournament 17,BATTLE_ROYALE,COMPLETED,2024-11-05T08:00:00+08:00,2024-11-06T08:00:00+08:00,101,1,null,null
Tournament 18,CLAN_WAR,COMPLETED,2024-11-07T12:00:00+08:00,2024-11-09T12:00:00+08:00,50,1,null,null
Tournament 19,BATTLE_ROYALE,ACTIVE,2024-11-08T12:00:00+08:00,2024-11-14T12:00:00+08:00,21,4,null,null
Tournament 20,CLAN_WAR,INACTIVE,2024-11-11T10:00:00+08:00,2024-11-13T10:00:00+08:00,50,4,null,null
Tournament 21,CLAN_WAR,INACTIVE,2024-11-28T10:00:00+08:00,2024-12-04T10:00:00+08:00,100,5,null,null
Tournament 22,CLAN_WAR,INACTIVE,2024-11-13T08:00:00+08:00,2024-11-19T08:00:00+08:00,110,2,null,null
Tournament 23,CLAN_WAR,COMPLETED,2024-11-05T09:00:00+08:00,2024-11-06T09:00:00+08:00,50,1,null,null
Tournament 24,CLAN_WAR,INACTIVE,2024-11-16T11:00:00+08:00,2024-11-22T11:00:00+08:00,110,5,null,null
Tournament 25,CLAN_WAR,INACTIVE,2024-11-20T08:00:00+08:00,2024-11-28T08:00:00+08:00,50,5,null,null
Tournament 26,BATTLE_ROYALE,INACTIVE,2024-11-12T09:00:00+08:00,2024-11-18T09:00:00+08:00,106,4,null,null
Tournament 27,CLAN_WAR,INACTIVE,2024-11-18T08:00:00+08:00,2024-11-27T08:00:00+08:00,80,4,null,null
Tournament 28,BATTLE_ROYALE,INACTIVE,2024-11-29T12:00:00+08:00,2024-12-03T12:00:00+08:00,81,3,null,null
Tournament 29,BATTLE_ROYALE,INACTIVE,2024-11-21T11:00:00+08:00,2024-12-01T11:00:00+08:00,29,2,null,null
